Td	ID	Tj	Df	Dd	Db
383	1048	382	0	1	1
383	1045	382	0	1	1
383	1047	382	0	1	1
383	1052	383	0	0	0
383	1055	383	0	0	0
383	1050	382	0	1	1
384	1051	383	0	1	1
384	1053	383	0	1	1
384	1036	378	0	6	6
384	1037	380	0	4	4
384	992	364	0	20	20
384	572	202	0	182	182
385	588	206	0	179	179
386	1060	386	0	0	0
386	1061	386	0	0	0
386	1063	386	0	0	0
387	1064	386	0	1	1
387	1058	386	0	1	1
387	1070	387	0	0	0
387	1067	387	0	0	0
388	1062	386	0	2	2
388	1065	387	0	1	1
388	1068	387	0	1	1
388	1069	387	0	1	1
389	1066	387	0	2	2
391	1075	391	0	0	0
391	1077	391	0	0	0
391	1076	391	0	0	0
391	1078	391	0	0	0
392	1072	391	0	1	1
393	1083	393	0	0	0
393	1085	393	0	0	0
393	1079	393	0	0	0
394	1084	393	0	1	1
394	1080	393	0	1	1
395	1089	395	0	0	0
395	1088	395	0	0	0
395	1090	395	0	0	0
396	1086	395	0	1	1
396	1092	395	0	1	1
396	1093	396	0	0	0
396	1095	396	0	0	0
396	1098	396	0	0	0
396	1097	396	0	0	0
397	1096	396	0	1	1
397	1099	396	0	1	1
397	1101	397	0	0	0
397	1105	397	0	0	0
398	1103	397	0	1	1
398	1104	397	0	1	1
398	1106	397	0	1	1
398	1100	397	0	1	1
398	1102	397	0	1	1
399	1113	399	0	0	0
399	1109	399	0	0	0
400	1112	399	0	1	1
401	1108	399	0	2	2
401	1110	399	0	2	2
401	1094	396	0	5	5
401	1059	386	0	15	15
401	1127	401	0	0	0
401	1126	401	0	0	0
401	1121	401	0	0	0
402	1120	400	1	1	2
402	1123	401	0	1	1
402	1118	400	2	0	2
403	1124	401	1	1	2
403	1125	401	1	1	2
403	1087	395	0	8	8
404	1129	404	0	0	0
404	1131	404	0	0	0
405	1133	404	0	1	1
405	1135	405	0	0	0
405	1136	405	0	0	0
405	1139	405	0	0	0
405	1138	405	0	0	0
405	1137	405	0	0	0
406	1141	405	0	1	1
409	1146	409	0	0	0
410	1142	409	0	1	1
410	1147	409	0	1	1
412	1155	412	0	0	0
412	1151	412	0	0	0
413	1150	412	0	1	1
